# 目标词|完整自编例句|三个干扰词（逗号分隔）|解析线索
源远流长|这项礼俗从先秦延续至今，源远流长，其历史可追溯两千多年。|博大精深,历久弥新,兼容并蓄|“从先秦延续至今”“两千多年”强调历史悠久；博大精深重内容，历久弥新重新的价值，兼容并蓄重包容。
博大精深|这部典籍涵盖天文、历法与哲学，论述深刻，体系博大精深，值得反复研读。|源远流长,连绵不绝,陈陈相因|“涵盖”多个领域与“论述深刻”分别对应广博和精深，不能仅从历史长短或延续状态判断。
历久弥新|这首老歌流传了几十年，每次重听仍能发现新的意味，艺术魅力历久弥新。|因循守旧,日渐式微,稍纵即逝|“几十年”与“新的意味”共同指向时间越久越显新意；其余分别表示守旧、衰落、短暂。
一脉相承|新一代匠人沿用师祖传下的核心技法，虽有改进，工艺理念仍一脉相承。|背道而驰,标新立异,分道扬镳|“传下”“沿用”“仍”强调同一体系的承接，其余均不能体现传承关系。
薪火相传|师父把手艺教给徒弟，徒弟又开班授艺，让这门技艺薪火相传。|销声匿迹,一蹴而就,作茧自缚|“师父—徒弟—后辈”构成代际传承链，重点是技艺延续，不是学习速度。
推陈出新|改编者保留古戏精华，删去陈旧桥段并加入现代舞台语言，使传统艺术推陈出新。|抱残守缺,食古不化,陈陈相因|既保留精华又创造新形式，体现去旧出新；三个干扰词都不能表达改良与创造。
革故鼎新|这场改革废除了积弊已久的旧制度，建立全新的治理规则，可谓革故鼎新。|因循守旧,安之若素,萍水相逢|“废除旧制度、建立新规则”是重大制度变革，直接对应革故鼎新。
去芜存菁|整理史料时，团队剔除重复讹误，保留可靠而有价值的部分，完成了去芜存菁的工作。|泥沙俱下,鱼目混珠,舍本逐末|“剔除讹误、保留价值”强调去掉糟粕、留下精华；其余侧重混杂、冒充或轻重颠倒。
另辟蹊径|常用算法始终无法解决这个难题，研究者另辟蹊径，从几何结构入手找到了新方法。|墨守成规,照本宣科,固步自封|“新方法”与原有方法形成对比，需要表达另找路径，不能填守旧机械的词。
匠心独运|这部动画把窗花纹样融入人物动作设计，构思精巧，处处可见创作者匠心独运。|粗制滥造,人云亦云,买椟还珠|语境同时具备艺术创作与巧妙构思，符合匠心独运的搭配对象和褒义色彩。
独树一帜|这位画家形成了鲜明的个人风格，在同代画坛独树一帜，很难与别人混淆。|千篇一律,亦步亦趋,相形见绌|“个人风格”“难以混淆”强调自成一家；不是简单跟随或比较逊色。
墨守成规|流程早已不适合新业务，负责人却墨守成规，坚持所有环节一律照旧。|与时俱进,另辟蹊径,推陈出新|“不适合”与“照旧”组成批评语境，重点在不肯改变旧规则。
循序渐进|这套课程先教基础概念，再练简单应用，最后解决综合问题，安排得循序渐进。|急功近利,一蹴而就,一成不变|“先—再—最后”显示学习按阶段逐步深入，不是追求一举完成。
有条不紊|面对同时到来的多项任务，她逐项登记、依次分派，处理得有条不紊。|手足无措,杂乱无章,无所适从|“逐项、依次”体现条理清楚；干扰项均体现混乱或失去方向。
望而却步|一些人一看到陡峭山路就转身离开，尚未尝试便已望而却步。|勇往直前,迎刃而解,当仁不让|“看到—转身离开”包含退缩行为，区别于仅仅产生害怕情绪。
骑虎难下|工程已经启动，停工会造成巨额损失，继续又困难重重，项目负责人骑虎难下。|游刃有余,顺水推舟,得心应手|“已经启动”且“难以中止”是核心，属于开始后被形势裹挟的进退两难。
岌岌可危|旧桥桥墩严重开裂，随时可能坍塌，整座桥已岌岌可危。|固若金汤,安如泰山,根深蒂固|“随时可能坍塌”强调极端危险，三个干扰项均不能符合这一危险状态。
方兴未艾|这项新技术刚进入推广阶段，应用不断增加，发展方兴未艾，远未到停滞之时。|日渐式微,每况愈下,江河日下|“刚进入”“不断增加”“远未停滞”强调正在发展；其他词指向衰落。
雨后春笋|政策发布后，一家又一家社区书店雨后春笋般出现，短时间内遍布街区。|昙花一现,寥若晨星,门可罗雀|“一家又一家”“短时间内遍布”兼有新事物多而迅速涌现的特点。
应运而生|随着老年人居家照护需求增长，提供上门康复服务的新职业应运而生。|化为乌有,销声匿迹,固步自封|“需求增长”是客观条件，“新职业出现”是顺应条件而产生。
相形见绌|与资料扎实、推理严密的报告相比，这份论证粗疏的方案显得相形见绌。|出类拔萃,无与伦比,独占鳌头|“相比”“粗疏”表明在比较中显出不足，不能使用优秀领先的评价。
望尘莫及|对手早已遥遥领先，差距仍在扩大，我们只能望尘莫及。|并驾齐驱,不分轩轾,平分秋色|语境明确追赶不上；其余三项都表示双方水平相近。
力不从心|他很想亲自完成全部修缮工作，却因年事已高、体力有限而力不从心。|得心应手,游刃有余,信手拈来|“很想”与“体力有限”形成愿望和能力的反差。
鞭长莫及|总部距离边远站点太远，管理人员难以及时到场，对突发问题常感到鞭长莫及。|近在咫尺,一衣带水,唇齿相依|“距离太远、难以及时到场”是力量无法达到的空间限制。
浅尝辄止|他学什么都只接触一点基础就不再深入，长期浅尝辄止，很难形成专业能力。|皓首穷经,孜孜不倦,锲而不舍|“接触一点就停止”侧重学习不深入，三个干扰项都表示持续钻研。
融会贯通|她把统计学、编程和业务知识融会贯通，能够从整体上解释数据背后的问题。|囫囵吞枣,生搬硬套,不求甚解|“不同知识结合”“整体理解”强调融合后通透掌握，而非机械记忆。
相辅相成|实验验证理论，理论指导实验，两者相辅相成，缺少任何一方都难以推进研究。|此消彼长,分庭抗礼,各行其是|“缺少任何一方”明确强调互相辅助、缺一不可，而不是彼此竞争或消长。
相得益彰|恰当的配乐让画面更有感染力，细腻的画面又凸显了音乐的情绪，两者相得益彰。|格格不入,背道而驰,大相径庭|重点在互相配合后各自优势更突出，属于效果增强。
并行不悖|线上办理与线下服务可以并行不悖，同时推进而不互相冲突。|针锋相对,南辕北辙,各执一词|“同时推进、不冲突”是并行不悖的两个关键条件。
本末倒置|评价阅读活动，本应看学生是否真正理解，却只统计打卡截图，难免本末倒置。|纲举目张,提纲挈领,正本清源|“理解”是根本，“截图”是次要形式，评价把主次关系颠倒了。
因噎废食|一次试点失误就永久取消所有创新项目，无异于因噎废食。|未雨绸缪,有备无患,防患未然|因局部问题连本应开展的事也停止，区别于积极防范风险。
南辕北辙|目标是减轻基层负担，措施却增加了层层重复报表，这种做法与目标南辕北辙。|殊途同归,异曲同工,不谋而合|“目标减负、措施增负”说明行动方向与目的完全相反。
削足适履|为了套用统一指标而强行抹去地区差异，这种削足适履的评价方式并不合理。|因地制宜,量体裁衣,对症下药|语境是迁就僵硬标准而改变实际对象，非依据实际调整方法。
潜移默化|家长平日守信的举动会潜移默化地影响孩子，孩子往往在不知不觉中学会践诺。|耳提面命,大张旗鼓,明目张胆|“不知不觉”要求隐性的长期影响，与明确教导或公开行动不同。
耳濡目染|她从小住在戏班附近，长期耳濡目染，对唱腔和身段逐渐熟悉。|闭目塞听,置若罔闻,视而不见|“从小、长期”以及听唱腔、看身段，体现经常接触后的自然影响。
醍醐灌顶|导师的一番点拨解开了他困惑已久的疑问，让他如醍醐灌顶，顿时明白了关键所在。|一头雾水,不知所措,不甚了了|“点拨、顿时明白”强调受到启发而醒悟。
振聋发聩|针对长期被忽视的安全隐患，这篇批评文章振聋发聩，促使人们警醒并立即整改。|语焉不详,闪烁其词,讳莫如深|“促使警醒”强调言论唤醒糊涂麻木的人，不是声音分贝高。
筚路蓝缕|创业之初，他们在简陋棚屋里搭设备、做试验，筚路蓝缕，才有了今天的工厂。|养尊处优,坐享其成,钟鸣鼎食|“创业之初、简陋条件、开创工厂”共同限定创业艰辛这一语义。
